,data,0
262,1300545488665481116449397679724710156589056974088,4398
263,1300757267968226985538699909452120709994156207219,6
264,1301692154345622890295210116451957413595128871556,498
265,1303427678063513742990272981589781633570989359772,24
266,1304622898315513776710967927710078185500379116206,18
267,1305731800762248431522958452511367414364168801778,25
268,1306283010393414707948313402537723576424906157827,4047
269,1306611602330887034226331205854946874093113925935,8
270,1311650643501102519359182607902438698901672412195,2
271,1312959519437728991420557569996137154257200043215,50
272,1313206569990681802135940825828118732425539897254,2514
273,131460833811589660077010628801622141012656599218,3600
274,1316827260637260569936431128808314743876750969351,23
275,1316879801518135371624911849896521256801627165892,6335
276,1317284714347358817468367567240622691130309316975,17
277,1318674729647849872337274784265915542027389438271,32
278,131985781884785300632621185275874631015602317235,27
279,1322387831130635963113044259314981420504704489292,1072
280,1325416573004822799971470266163087662241047311551,1
281,1325788502707733166500647789092959756081155621252,337
282,1328523957921782692529198751225243995807287061428,10034
283,1330861972397150943777511409682259622302122473594,3
284,1332314200643867326697481092963593286729970995105,28
285,1332484877330867734292769114652915554544352086641,69
286,1334480931227697323744272415350909073665775302365,1
287,1334670898648691756534985192181500505562177612658,9882
288,1336620826456563881061401456948038781156640111682,531
289,1336994422161336359392190875715212164915228349559,170
290,1338997054536490059251362256260137735787003627425,5
291,1339463911745791980689604853735458848986914620007,4
292,1339878573896139053316393802963636537176632065090,13
293,1340483624302836718719308878492512120295072038076,572
294,1344242677381425997288159738149321226954971745029,121
295,1344878673138394684281187004492103242701339951023,2714
296,134583530686552564431707607384843333409727111733,7
297,1350308983571757160367612574138885955914537258144,30
298,1350953213607249280451817825616280582124774265658,2
299,135146801727664406439568946232394835064390877124,10091
300,1354457745780624072659775902533951410989104477115,12
301,135485104147235491998187488505806081114005867105,1669
302,1355758047285704044487557151039761404806527452607,10
303,1362669921019694127565154196666521530730700912608,44
304,1364159219231616621338133447032651141534530261576,112
305,1367497984611145459428756934207871976107224540164,21
306,1368045638630933736586641055334236544417248367152,652
307,1369690027517148643809679374989956506188653353152,47
308,1370970458637669216793693056352130245582194810433,120
309,1371133254810992065916418219331729853515623585096,31
310,1373335500168609759105523105113674923333476853586,185
311,1375274086386009503794944545352477434919901619561,1322
312,1376790891104316985894325858520826941043519604443,97
313,1376791562473204464886739694053046317095503402645,3583
314,1378219365378730387428078507220982364967166946704,4387
315,1378754247932415666732254138917113869506731035096,231
316,1380321530941655451219543464649088998616643912585,157
317,1381249309614973729615716669131678239655375109531,4
318,1381668779964746835517939883548968346805893842550,1
319,1381698768173024511457744876355815679188524566917,1332
